GRP,Trans_Num,Quad_Num,Species,S_or_E,Length_cm,,,
A,3,3,Mafa,S,10.1,,,
A,3,3,Mafa,S,9.2,,,
A,3,3,Mafa,S,9.4,,,
A,3,3,Mafa,S,9.6,,,
A,3,3,Mafa,S,9.8,,,
A,3,3,Mafa,S,10.3,,,
A,3,3,Mafa,S,10.1,,,
A,3,3,Mafa,S,9.7,,,
A,3,3,Mafa,S,8.9,,,
A,3,3,Mafa,S,9.7,,,
A,3,3,Mafa,S,10.9,,,
A,3,3,Mafa,S,10.1,,,
A,3,3,Mafa,S,9.5,,,
A,3,3,Mafa,S,9,,,
A,3,3,Mafa,S,10.3,,,
A,3,3,Mafa,S,9.9,,,
A,3,3,Mafa,S,9.9,,,
A,3,3,Mafa,S,9,,,
A,3,3,Mafa,S,9.8,,,
A,3,3,Mafa,S,10.3,,,
A,3,3,Mafa,S,9.4,,,
A,3,3,Mafa,S,9.7,,,
A,3,3,Mafa,S,10.1,,,
A,3,3,Mafa,S,9.2,,,
A,3,3,Mafa,S,9.6,,,
A,3,3,Mafa,S,10.5,,,
A,3,3,Mafa,S,10.3,,,
A,3,3,Mafa,S,10.3,,,
A,3,3,Mafa,S,9.5,,,
A,3,3,Mafa,S,9,,,
A,3,3,Mafa,S,8.5,,,
A,3,3,Mafa,S,8.1,,,
A,3,3,Mafa,S,5.2,,,
A,3,3,Mafa,S,6.9,,,
A,3,3,Mafa,S,9.1,,,
A,3,3,Mafa,S,7,,,
A,3,3,Mafa,S,8.1,,,
A,3,3,Mafa,S,6.2,,,
A,3,3,Mafa,S,8,,,
A,3,3,Mafa,S,6.8,,,
A,3,3,Mafa,S,8.4,,,
A,3,3,Mafa,S,7.1,,,
A,3,3,Mafa,S,8.6,,,
A,3,3,Mafa,S,7.1,,,
A,3,3,Mafa,S,7,,,
A,3,3,Mafa,S,9.2,,,
A,3,3,Mafa,S,7.7,,,
A,3,3,Mafa,S,9.4,,,
A,3,3,Mafa,S,8.1,,,
A,3,3,Mafa,S,7.1,,,
A,3,3,Mafa,S,10,,,
A,3,3,Mafa,S,8.4,,,
A,3,3,Mafa,S,7.2,,,
A,3,3,Mafa,S,8,,,
A,3,3,Mafa,S,7.6,,,
A,3,3,Mafa,S,6.2,,,
A,3,3,Mafa,S,8.3,,,
A,3,3,Mafa,S,8.1,,,
A,3,3,Mafa,S,7.7,,,
A,3,3,Mafa,S,8.1,,,
A,3,3,Mafa,S,8.8,,,
A,3,3,Mafa,S,8.2,,,
A,3,3,Mafa,S,6.8,,,
A,3,3,Mafa,S,7.4,,,
A,3,3,Mafa,S,7.1,,,
A,3,3,Mafa,S,8,,,
A,3,3,Mafa,S,7,,,
A,3,3,Mafa,S,6.6,,,
A,3,3,Mafa,S,7.2,,,
A,3,3,Mafa,S,5.8,,,
A,3,3,Mafa,S,6,,,
A,3,3,Mafa,S,7.4,,,
A,3,3,Mafa,S,7.2,,,
A,3,3,Mafa,S,7.8,,,
A,3,3,Mafa,S,6.7,,,
A,3,3,Mafa,S,7.2,,,
A,3,3,Mafa,S,6.8,,,
A,3,3,Mafa,S,7.5,,,
A,3,3,Mafa,S,6.7,,,
A,3,3,Mafa,S,6.5,,,
A,3,3,Mafa,S,9.8,,,
A,3,3,Mafa,S,9.2,,,
A,3,3,Mafa,S,9.1,,,
A,3,3,Mafa,S,8.2,,,
A,3,3,Mafa,S,9,,,
A,3,3,Mafa,S,8.3,,,
A,3,3,Mafa,S,8.6,,,
A,3,3,Mafa,S,3.1,,,
A,3,4,Mafa,S,10.4,,,
A,3,4,Mafa,S,9.3,,,
A,3,4,Mafa,S,10.3,,,
A,3,4,Mafa,S,10.2,,,
A,3,4,Mafa,S,9.6,,,
A,3,4,Mafa,S,9.2,,,
A,3,4,Mafa,S,6.1,,,
A,3,4,Mafa,S,10.5,,,
A,3,4,Mafa,S,10.4,,,
A,3,4,Mafa,S,10.4,,,
A,3,4,Mafa,S,9.8,,,
A,3,4,Mafa,S,8.4,,,
A,3,4,Mafa,S,7.3,,,
A,3,4,Mafa,S,10.1,,,
A,3,4,Mafa,S,11.1,,,
A,3,4,Mafa,S,9.5,,,
A,3,4,Mafa,S,9.5,,,
A,3,4,Mafa,S,10.7,,,
A,3,4,Mafa,S,10.4,,,
A,3,4,Mafa,S,9.4,,,
A,3,4,Mafa,S,9.2,,,
A,3,4,Mafa,S,10.1,,,
A,3,4,Mafa,S,10.9,,,
A,3,4,Mafa,S,11,,,
A,3,4,Mafa,S,10.7,,,
A,3,4,Mafa,S,11,,,
A,3,4,Mafa,S,9.9,,,
A,3,4,Mafa,S,9.5,,,
A,3,4,Mafa,S,9.8,,,
A,3,4,Mafa,S,9.7,,,
A,3,4,Mafa,S,9.5,,,
A,3,4,Mafa,S,9.8,,,
A,3,4,Mafa,S,8.5,,,
A,3,4,Mafa,S,9.4,,,
A,3,4,Mafa,S,8.3,,,
A,3,4,Mafa,S,9,,,
A,3,4,Mafa,S,7.7,,,
A,3,4,Mafa,S,9.6,,,
A,3,4,Mafa,S,10.8,,,
A,3,4,Mafa,S,10.2,,,
A,3,4,Mafa,S,10.8,,,
A,3,4,Mafa,S,10.6,,,
A,3,4,Mafa,S,9.5,,,
A,3,4,Mafa,S,9.9,,,
A,3,4,Mafa,S,9.4,,,
A,3,4,Mafa,S,9.7,,,
A,3,4,Mafa,S,9.8,,,
A,3,4,Mafa,S,7.3,,,
A,3,4,Mafa,S,9.7,,,
A,3,4,Mafa,S,10.2,,,
A,3,4,Mafa,S,9.4,,,
A,3,4,Mafa,S,10.2,,,
A,3,4,Mafa,S,7.8,,,
A,3,4,Mafa,S,8.2,,,
A,3,4,Mafa,S,8,,,
A,3,4,Mafa,S,10.7,,,
A,3,4,Mafa,S,11.2,,,
A,3,4,Mafa,S,9.8,,,
A,3,4,Mafa,S,10.9,,,
A,3,4,Mafa,S,9.5,,,
A,3,4,Mafa,S,7.3,,,
A,3,4,Mafa,S,10.1,,,
A,3,4,Mafa,S,10,,,
A,3,4,Mafa,S,9.1,,,
A,3,4,Mafa,S,10.4,,,
A,3,4,Mafa,S,9.6,,,
A,3,4,Mafa,S,10.1,,,
A,3,4,Mafa,S,10.5,,,
A,3,4,Mafa,S,11.6,,,
A,3,4,Mafa,S,10.1,,,
A,3,4,Mafa,S,9.1,,,
A,3,4,Mafa,S,9.7,,,
A,3,4,Mafa,S,10.2,,,
A,3,4,Mafa,S,8.9,,,
A,3,4,Mafa,S,9.6,,,
A,3,4,Mafa,S,9.7,,,
A,3,4,Mafa,S,8.5,,,
A,3,4,Mafa,S,7.9,,,
A,3,4,Mafa,S,9,,,
A,3,4,Mafa,S,10.1,,,
A,3,4,Mafa,S,9.8,,,
A,3,4,Mafa,S,9.4,,,
A,3,4,Mafa,S,8.3,,,
A,3,4,Mafa,S,8.2,,,
A,3,4,Mafa,S,7.3,,,
A,3,4,Mafa,S,7.4,,,
A,3,4,Mafa,S,4,,,
A,3,4,Mafa,S,4.2,,,
A,3,4,Mafa,S,4.1,,,
A,3,4,Mafa,S,3.2,,,
A,3,4,Mafa,S,3.1,,,
A,3,4,Mafa,S,3.6,,,
A,3,4,Mafa,S,2.2,,,
A,3,4,Mafa,S,1.5,,,
A,3,4,Mafa,S,0.9,,,
A,3,4,Mafa,E,0.5,,,
A,3,4,Mafa,E,0.6,,,
A,3,5,Mafa,S,7.5,,,
A,3,5,Mafa,S,7.5,,,
A,3,5,Mafa,S,7.7,,,
A,3,5,Mafa,S,7.3,,,
A,3,5,Mafa,S,6.8,,,
A,3,5,Mafa,S,9,,,
A,3,5,Mafa,S,9.1,,,
A,3,5,Mafa,S,9,,,
A,3,5,Mafa,S,8.1,,,
A,3,5,Mafa,S,5.8,,,
A,3,5,Mafa,S,4.1,,,
A,4,1,Mafa,S,10,,,
A,4,1,Mafa,S,9.5,,,
A,4,1,Mafa,S,9.7,,,
A,4,1,Mafa,S,7.9,,,
A,4,1,Mafa,S,9.3,,,
A,4,1,Mafa,S,8.9,,,
A,4,1,Mafa,S,11.6,,,
A,4,1,Mafa,S,9.2,,,
A,4,1,Mafa,S,8.7,,,
A,4,1,Mafa,S,9.8,,,
A,4,1,Mafa,S,9.9,,,
A,4,1,Mafa,S,10.1,,,
A,4,1,Mafa,S,10.6,,,
A,4,1,Mafa,S,9.6,,,
A,4,1,Mafa,S,9.7,,,
A,4,1,Mafa,S,9.6,,,
A,4,1,Mafa,S,8.5,,,
A,4,1,Mafa,S,8.4,,,
A,4,1,Mafa,S,7.7,,,
A,4,1,Mafa,S,9.5,,,
A,4,1,Mafa,S,10.6,,,
A,4,1,Mafa,S,9.7,,,
A,4,1,Mafa,S,9.8,,,
A,4,1,Mafa,S,11.4,,,
A,4,1,Mafa,S,8.6,,,
A,4,1,Mafa,S,7.3,,,
A,4,1,Mafa,S,7.5,,,
A,4,1,Mafa,S,8.2,,,
A,4,1,Mafa,S,8,,,
A,4,1,Mafa,S,7.1,,,
A,4,1,Mafa,S,8.7,,,
A,4,1,Mafa,S,9,,,
A,4,1,Mafa,S,8.8,,,
A,4,1,Mafa,S,9,,,
A,4,1,Mafa,S,8.1,,,
A,4,1,Mafa,S,8.2,,,
A,4,1,Mafa,S,7.7,,,
A,4,1,Mafa,S,8,,,
A,4,1,Mafa,S,7.2,,,
A,4,1,Mafa,S,8.3,,,
A,4,1,Mafa,S,7.8,,,
A,4,1,Mafa,S,7.2,,,
A,4,1,Mafa,S,7.1,,,
A,4,1,Mafa,S,8.1,,,
A,4,1,Mafa,S,8.2,,,
A,4,1,Mafa,S,9.1,,,
A,4,1,Mafa,S,7.7,,,
A,4,1,Mafa,S,8,,,
A,4,1,Mafa,S,8.1,,,
A,4,1,Mafa,S,7,,,
A,4,1,Mafa,S,5.7,,,
A,4,1,Mafa,S,6.5,,,
A,4,1,Mafa,S,6.3,,,
A,4,1,Mafa,S,6.1,,,
A,4,1,Mafa,S,6.7,,,
A,4,1,Mafa,S,5.8,,,
A,4,1,Mafa,S,6.1,,,
A,4,1,Mafa,S,6,,,
A,4,1,Mafa,S,6.7,,,
A,4,1,Mafa,S,6.2,,,
A,4,1,Mafa,S,6.2,,,
A,4,1,Mafa,S,5.9,,,
A,4,1,Mafa,S,5.5,,,
A,4,1,Mafa,S,5.2,,,
A,4,1,Mafa,S,5.7,,,
A,4,1,Mafa,S,5.6,,,
A,4,1,Mafa,S,5.2,,,
A,4,1,Mafa,S,5.5,,,
A,4,1,Mafa,S,4.7,,,
A,4,1,Mafa,S,4.8,,,
A,4,1,Mafa,S,3.9,,,
A,4,1,Mafa,S,3.5,,,
A,4,1,Mafa,S,3.7,,,
A,4,1,Mafa,S,3.1,,,
A,4,1,Mafa,S,3.7,,,
A,4,1,Mafa,S,2.4,,,
A,4,1,Mafa,S,1.8,,,
A,4,1,Mafa,S,1.6,,,
A,4,1,Mafa,S,1.7,,,
A,4,1,Mafa,S,0.08,,,
A,4,2,Mafa,S,8.9,,,
A,4,2,Mafa,S,10,,,
A,4,2,Mafa,S,7.8,,,
A,4,2,Mafa,S,9,,,
A,4,2,Mafa,S,9.3,,,
A,4,2,Mafa,S,10,,,
A,4,2,Mafa,S,9.1,,,
A,4,2,Mafa,S,9.2,,,
A,4,2,Mafa,S,8.7,,,
A,4,2,Mafa,S,9.4,,,
A,4,2,Mafa,S,10.7,,,
A,4,2,Mafa,S,10.1,,,
A,4,2,Mafa,S,7.7,,,
A,4,2,Mafa,S,6.5,,,
A,4,2,Mafa,S,8.5,,,
A,4,2,Mafa,S,8.4,,,
A,4,2,Mafa,S,9.5,,,
A,4,2,Mafa,S,9.7,,,
A,4,2,Mafa,S,9,,,
A,4,2,Mafa,S,10.1,,,
A,4,2,Mafa,S,8.6,,,
A,4,2,Mafa,S,8.3,,,
A,4,2,Mafa,S,8.8,,,
A,4,2,Mafa,S,8.4,,,
A,4,2,Mafa,S,9.2,,,
A,4,2,Mafa,S,8.3,,,
A,4,2,Mafa,S,7.8,,,
A,4,2,Mafa,S,8.1,,,
A,4,2,Mafa,S,7.7,,,
A,4,2,Mafa,S,8,,,
A,4,2,Mafa,S,8.5,,,
A,4,2,Mafa,S,9.4,,,
A,4,2,Mafa,S,8.3,,,
A,4,2,Mafa,S,8.2,,,
A,4,2,Mafa,S,7.9,,,
A,4,2,Mafa,S,8.1,,,
A,4,2,Mafa,S,7.3,,,
A,4,2,Mafa,S,7.7,,,
A,4,2,Mafa,S,7.8,,,
A,4,2,Mafa,S,7,,,
A,4,2,Mafa,S,7.7,,,
A,4,2,Mafa,S,5,,,
A,4,2,Mafa,S,3.4,,,
A,4,3,Mafa,S,9.4,,,
A,4,3,Mafa,S,9.4,,,
A,4,3,Mafa,S,8.8,,,
A,4,3,Mafa,S,9.9,,,
A,4,3,Mafa,S,10.1,,,
A,4,3,Mafa,S,7.2,,,
A,4,3,Mafa,S,9.6,,,
A,4,3,Mafa,S,10,,,
A,4,3,Mafa,S,8.8,,,
A,4,3,Mafa,S,9.2,,,
A,4,5,Mafa,S,9.4,,,
A,4,5,Mafa,S,9.5,,,
A,4,5,Mafa,S,8.5,,,
A,5,1,Mafa,S,7.6,,,
A,5,1,Mafa,S,8.2,,,
A,5,1,Mafa,S,8.5,,,
A,5,1,Mafa,S,8.1,,,
A,5,1,Mafa,S,8.1,,,
A,5,1,Mafa,S,7.4,,,
A,5,1,Mafa,S,6.6,,,
A,5,1,Mafa,S,7.4,,,
A,5,1,Mafa,S,8.3,,,
A,5,1,Mafa,S,7,,,
A,5,1,Mafa,S,7.1,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,8.8,,,
A,5,1,Mafa,S,7.7,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,6.6,,,
A,5,1,Mafa,S,7.4,,,
A,5,1,Mafa,S,7.1,,,
A,5,1,Mafa,S,7.2,,,
A,5,1,Mafa,S,8.1,,,
A,5,1,Mafa,S,7.2,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,8.5,,,
A,5,1,Mafa,S,7.6,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,7.5,,,
A,5,1,Mafa,S,7.2,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,8.5,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,7.9,,,
A,5,1,Mafa,S,7.6,,,
A,5,1,Mafa,S,7.1,,,
A,5,1,Mafa,S,7.4,,,
A,5,1,Mafa,S,8,,,
A,5,1,Mafa,S,6,,,
A,5,1,Mafa,S,7.2,,,
A,5,1,Mafa,S,6.5,,,
A,5,1,Mafa,S,7.1,,,
A,5,1,Mafa,S,6.4,,,
A,5,1,Mafa,S,6.5,,,
A,5,1,Mafa,S,5.4,,,
A,5,1,Mafa,S,8.1,,,
A,5,1,Mafa,S,6,,,
A,5,1,Mafa,S,7,,,
A,5,1,Mafa,S,6.6,,,
A,5,1,Mafa,S,6.4,,,
A,5,1,Mafa,S,7.3,,,
A,5,1,Mafa,S,5.8,,,
A,5,1,Mafa,S,5.7,,,
A,5,1,Mafa,S,6.7,,,
A,5,1,Mafa,S,6.1,,,
A,5,1,Mafa,S,5.6,,,
A,5,1,Mafa,S,3.7,,,
A,5,1,Mafa,S,3,,,
A,5,1,Mafa,S,2.7,,,
A,5,1,Mafa,S,3,,,
A,5,1,Mafa,S,2.3,,,
A,5,2,Mafa,S,9.6,,,
A,5,2,Mafa,S,9.7,,,
A,5,2,Mafa,S,10.2,,,
A,5,2,Mafa,S,10.3,,,
A,5,2,Mafa,S,9.8,,,
A,5,2,Mafa,S,10,,,
A,5,2,Mafa,S,8.2,,,
A,5,2,Mafa,S,8.9,,,
A,5,2,Mafa,S,9.1,,,
A,5,2,Mafa,S,10.4,,,
A,5,2,Mafa,S,8.4,,,
A,5,2,Mafa,S,9,,,
A,5,2,Mafa,S,9.3,,,
A,5,2,Mafa,S,10.5,,,
A,5,2,Mafa,S,8.9,,,
A,5,2,Mafa,S,8.8,,,
A,5,2,Mafa,S,8.6,,,
A,5,2,Mafa,S,10.1,,,
A,5,2,Mafa,S,9.2,,,
A,5,2,Mafa,S,8.4,,,
A,5,2,Mafa,S,9.3,,,
A,5,2,Mafa,S,7.9,,,
A,5,2,Mafa,S,9.3,,,
A,5,2,Mafa,S,9.5,,,
A,5,2,Mafa,S,8.5,,,
A,5,2,Mafa,S,8.7,,,
A,5,2,Mafa,S,8.8,,,
A,5,3,Mafa,S,8.6,,,
A,5,3,Mafa,S,6.2,,,
A,5,3,Mafa,S,8.9,,,
A,5,3,Mafa,S,7.4,,,
A,5,3,Mafa,S,9.6,,,
A,5,3,Mafa,S,10.2,,,
A,5,3,Mafa,S,9.7,,,
A,5,3,Mafa,S,9,,,
A,5,3,Mafa,S,8.1,,,
A,5,3,Mafa,S,5.2,,,
A,5,3,Mafa,S,8.9,,,
A,5,3,Mafa,S,10.6,,,
A,5,3,Mafa,S,10,,,
A,5,3,Mafa,S,9.3,,,
A,5,3,Mafa,S,10.9,,,
A,5,3,Mafa,S,8.9,,,
A,5,3,Mafa,S,9.6,,,
A,5,3,Mafa,S,9.5,,,
A,5,3,Mafa,S,10.6,,,
A,5,3,Mafa,S,7.8,,,
A,5,3,Mafa,S,9.4,,,
A,5,3,Mafa,S,9.8,,,
A,5,3,Mafa,S,7.6,,,
A,5,3,Mafa,S,8.9,,,
A,5,3,Mafa,S,5.9,,,
A,5,3,Mafa,S,9.7,,,
A,5,3,Mafa,S,7.8,,,
A,5,3,Mafa,S,8.4,,,
A,5,3,Mafa,S,8.8,,,
A,5,3,Mafa,S,7.2,,,
A,5,3,Mafa,S,9.4,,,
A,5,3,Mafa,S,6.9,,,
A,5,3,Mafa,S,9.5,,,
A,5,3,Mafa,S,8,,,
A,5,3,Mafa,S,7.6,,,
A,5,3,Mafa,S,8.3,,,
A,5,4,Mafa,S,8.9,,,
A,5,4,Mafa,S,9.6,,,
A,5,4,Mafa,S,10.4,,,
A,5,4,Mafa,S,10.1,,,
A,5,4,Mafa,S,8.5,,,
A,5,4,Mafa,S,10.3,,,
A,5,4,Mafa,S,10.7,,,
A,5,4,Mafa,S,8.5,,,
A,5,4,Mafa,S,9.3,,,
A,5,4,Mafa,S,10.1,,,
A,5,4,Mafa,S,8.4,,,
A,5,4,Mafa,S,9,,,
A,5,4,Mafa,S,8.3,,,
A,5,4,Mafa,S,10.2,,,
A,5,4,Mafa,S,7.6,,,
A,5,4,Mafa,S,5.6,,,
A,5,4,Mafa,S,8.7,,,
A,5,4,Mafa,S,8.1,,,
A,5,4,Mafa,S,10.1,,,
A,5,4,Mafa,S,8.1,,,
A,5,4,Mafa,S,10,,,
A,5,4,Mafa,S,9.3,,,
A,5,4,Mafa,S,8.6,,,
A,5,4,Mafa,S,8.8,,,
A,5,4,Mafa,S,8,,,
A,5,4,Mafa,S,10.4,,,
A,5,4,Mafa,S,7.5,,,
A,5,4,Mafa,S,10.3,,,
A,5,4,Mafa,S,8.6,,,
A,5,4,Mafa,S,8.8,,,
A,5,4,Mafa,S,9.8,,,
A,5,4,Mafa,S,9.4,,,
A,5,4,Mafa,S,7.8,,,
A,5,4,Mafa,S,9.1,,,
A,5,4,Mafa,S,7.6,,,
A,5,4,Mafa,S,9.5,,,
A,5,4,Mafa,S,9.2,,,
A,5,4,Mafa,S,7.7,,,
A,5,4,Mafa,S,8.7,,,
A,5,4,Mafa,S,8.8,,,
A,5,4,Mafa,S,9,,,
A,5,4,Mafa,S,8.2,,,
A,5,4,Mafa,S,8,,,
A,5,4,Mafa,S,9,,,
A,5,4,Mafa,S,8.6,,,
A,5,4,Mafa,S,7.1,,,
A,5,4,Mafa,S,8.4,,,
A,5,4,Mafa,S,9.5,,,
A,5,4,Mafa,S,7.7,,,
A,5,4,Mafa,S,6.7,,,
A,5,4,Mafa,S,7,,,
A,5,4,Mafa,S,8.4,,,
A,5,4,Mafa,S,7.7,,,
A,5,4,Mafa,S,7.5,,,
A,5,4,Mafa,S,7.5,,,
A,5,4,Mafa,S,8,,,
A,5,4,Mafa,S,8.5,,,
A,5,4,Mafa,S,6.6,,,
A,5,4,Mafa,S,6.3,,,
A,5,4,Mafa,S,7.8,,,
A,5,4,Mafa,S,8.1,,,
A,5,4,Mafa,S,7,,,
A,5,4,Mafa,S,7,,,
A,5,4,Mafa,S,6.3,,,
A,5,4,Mafa,S,6.2,,,
A,5,4,Mafa,S,5.3,,,
A,5,4,Mafa,S,6.7,,,
A,5,4,Mafa,S,6,,,
A,5,4,Mafa,S,5.6,,,
A,5,4,Mafa,S,6,,,
A,5,4,Mafa,S,5.3,,,
A,5,4,Mafa,S,4.2,,,
A,5,4,Mafa,S,3.7,,,
A,5,4,Mafa,S,3.6,,,
A,5,4,Mafa,S,4,,,
A,5,4,Mafa,S,3.1,,,
A,5,4,Mafa,S,2.5,,,
A,5,4,Mafa,E,4.5,,,
A,5,5,Mafa,S,9.3,,,
A,5,5,Mafa,S,7.5,,,
A,5,5,Mafa,S,8.7,,,
A,5,5,Mafa,S,8.3,,,
A,5,5,Mafa,S,7.7,,,
A,5,5,Mafa,S,8.4,,,
A,5,5,Mafa,S,8,,,
A,5,5,Mafa,S,8,,,
A,5,5,Mafa,S,8.1,,,
A,5,5,Mafa,S,7.6,,,
A,5,5,Mafa,S,7,,,
A,5,5,Mafa,S,6.5,,,
A,5,5,Mafa,S,7.2,,,
A,5,5,Mafa,S,7.1,,,
A,5,5,Mafa,S,7.3,,,
A,5,5,Mafa,S,4.1,,,
A,5,5,Mafa,S,4.1,,,
